Genre,R-Squared,Diversity Index Coefficient,Budget Coefficient,Year Coefficient
Drama,0.33495617474327266,76.16674517120049,1.0290241716568185e-07,0.13841555668568062
Comedy,0.7460531974883826,145.41955306917808,2.8610682207199417e-07,0.3440830711354177
Mystery & Thriller,0.11295163659065455,2.115456467793422,-1.0956073357628442e-07,0.2362316254970412
Action,0.5431655203165979,-45.74556222861936,1.7517070465898683e-07,0.73800697086769
Adventure,0.6393201362978302,-61.683446170825874,5.208950020411739e-08,1.3237653400324398
Fantasy,0.6040414611433282,244.50288998203752,1.11546438577393e-07,0.07097285123960513
Romance,0.664996399982729,194.62574672982385,2.4943590097855715e-08,0.3503036338874589
Horror,0.2695536212754377,29.318108825499905,4.964139309858195e-07,0.12208520877040888
Kids & Family,0.6267862620553087,152.4736533212826,8.458829492210602e-08,0.790033324984012
Sci-Fi,0.5435648150589768,17.1224517097817,1.1916528063360034e-07,0.6381397957466316
