name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Jesus Shows You the Way to the Highway,88,71,82,"['Comedy', 'Sci-Fi', 'Action', 'Mystery & Thriller']",,1h 23m,2019,"['Daniel Tadesse', 'Guillermo Llansó', 'Agustín Mateo', 'Gerda-Annette Allikas', 'Solomon Tashe']",['Miguel Llanso']
The Turning Point,100,67,88,"['Crime', 'Drama']",,1h 35m,2021,"['Claudio Bigagli', 'Filippo Contri', 'Cristian Di Sante', 'Marcello Fonte', 'Andrea Lattanzi']",['Riccardo Antonaroli']
Midnight Movies: From the Margin to the Mainstream,91,78,86,['Documentary'],,1h 26m,2005,"['John Waters', 'Ben Barenholtz', 'Alejandro Jodorowsky', 'Alan Douglas', 'J. Hoberman']",['Stuart Samuels']
Aviva,79,98,85,"['Drama', 'Romance']",,1h 56m,2020,"['Zina Zinchenko', 'Bobbi Jene Smith', 'Tyler Phillips', 'Or Schraiber', 'Omri Drumlevich']",['Boaz Yakin']
Ava,20,29,23,"['Action', 'Mystery & Thriller']",R,1h 37m,2020,"['Jessica Chastain', 'John Malkovich', 'Colin Farrell', 'Jess Weixler', 'Common']",['Tate Taylor']
Switching Channels,60,32,50,"['Romance', 'Comedy']",PG,1h 48m,1988,"['Kathleen Turner', 'Burt Reynolds', 'Christopher Reeve', 'Ned Beatty', 'Henry Gibson']",['Ted Kotcheff']
Sweetness in the Belly,40,60,46,['Drama'],,1h 50m,2019,"['Dakota Fanning', 'Yahya Abdul-Mateen II', 'Wunmi Mosaku', 'Gavin Drea', 'Amerjit Deu']",['Zeresenay Berhane Mehari']
Just a Gigolo,33,39,35,['Drama'],R,1h 30m,1981,"['David Bowie', 'Sydne Rome', 'Kim Novak', 'David Hemmings', 'Maria Schell']",['David Hemmings']
Comanche Station,100,69,89,['Western'],,1h 14m,1960,"['Randolph Scott', 'Nancy Gates', 'Claude Akins', 'Skip Homeier', 'Richard Rust']",['Bud Boetticher']
Northwest Passage,100,68,89,['Adventure'],,2h 6m,1940,"['Spencer Tracy', 'Robert Young', 'Walter Brennan', 'Ruth Hussey', 'Nat Pendleton']",['King Vidor']
Alone,91,54,78,['Mystery & Thriller'],R,1h 38m,2020,"['Jules Willcox', 'Marc Menchaca', 'Anthony Heald', 'Jonathan Rosenthal', 'Laura Duyn']",['John Hyams']
A Deadly Legend,33,74,46,['Horror'],,1h 37m,2020,"['Corbin Bernsen', 'Lori Petty', 'Judd Hirsch', 'Kristen Anne Ferraro', 'Jeffrey Doornbos']",['Pamela Moriarty']
The Return of the Living Dead,91,79,87,"['Horror', 'Comedy', 'Sci-Fi']",R,1h 31m,1985,"['Clu Gulager', 'James Karen', 'Don Calfa', 'Thom Mathews', 'Beverly Randolph']",['Dan Obannon']
Tales from the Crypt,90,69,83,['Horror'],PG,1h 32m,1972,"['Ralph Richardson', 'Joan Collins', 'Peter Cushing', 'Geoffrey Bayldon', 'Nigel Patrick']",['Ken Barnett']
X2,85,85,85,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,2h 14m,2003,"['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Halle Berry', 'Famke Janssen']",['Bryan Singer']
Evergreen,43,30,38,['Drama'],PG-13,1h 27m,2004,"['Mary Kay Place', 'Cara Seymour', 'Gary Farmer', 'Bruce Davison', 'Addie Land']",['Enid Zentelis 8']
Same Boat,64,92,73,"['Romance', 'Comedy']",,1h 23m,2019,"['Chris Roberti', 'Tonya Glanz', 'David Bly', 'Anto Boros', 'David Carl']",['Chris Roberti']
Death and the Compass,17,40,24,"['Fantasy', 'Crime', 'Drama', 'Mystery & Thriller', 'Action']",,1h 30m,1996,"['Peter Boyle', 'Miguel Sandoval', 'Christopher Eccleston', 'Zaide Silvia Gutiérrez', 'Pedro Armendáriz Jr.']",['Alex Cox']
What She Said: The Art of Pauline Kael,89,55,77,['Documentary'],,1h 35m,2018,"['Alec Baldwin', 'John Boorman', 'Francis Ford Coppola', 'John Guare', 'Molly Haskell']",['Rob Garver']
City of Men,74,78,75,['Drama'],R,1h 45m,2007,"['Douglas Silva', 'Darlan Cunha', 'Jonathan Haagensen', 'Rodrigo dos Santos', 'Eduardo BR']",['Paulo Morelli']
Citizen K,95,72,87,['Documentary'],,2h 8m,2019,"['Mikhail Khodorkovsky', 'Vladimir Putin', 'Leonid Nevzlin', 'Boris Berezovsky', 'Alexei Navalny']",['Alex Gibney']
Rookie of the Year,41,52,44,"['Kids & Family', 'Comedy']",PG,1h 43m,1993,"['Thomas Ian Nicholas', 'Gary Busey', 'Albert Hall', 'Amy Morton', 'Dan Hedaya']",['Daniel Stern']
After We Leave,83,39,68,"['Sci-Fi', 'Drama']",,1h 22m,2019,"['Brian Silverman', 'Anita Leeman Torres', 'Clay Wilcox', 'Anslem Richardson', 'James Black']",['Aleem Hossain']
The Book of Eli,47,64,52,"['Adventure', 'Action']",R,1h 52m,2010,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals']","['Allen Hughes', 'Albert Hughes']"
Warning,30,70,43,"['Sci-Fi', 'Mystery & Thriller']",R,1h 26m,2021,"['Thomas Jane', 'Alex Pettyfer', 'Alice Eve', 'Annabelle Wallis', 'Patrick Schwarzenegger']",['Agata Alexander']
Crush,79,81,79,"['Romance', 'Comedy']",,1h 33m,2022,"['Rowan Blanchard', ""Auli'i Cravalho"", 'Isabella Ferreira', 'Tyler Alvarez', 'Megan Mullally']",['Sammi Cohen']
The Go-Go's,98,94,96,"['Documentary', 'Music']",,1h 38m,2020,"['Alison Ellwood', 'Trevor Birney', ""Eimhear O'Neill"", 'Corey Russell', 'David Blackman']",['Alison Ellwood']
What Lies Below,50,26,41,['Mystery & Thriller'],,1h 27m,2020,"['Ema Horvath', 'Trey Tucker', 'Mena Suvari', 'Haskiri Velazquez', 'Troy Iwata']",['Braden R Duemmler']
47 Meters Down,53,35,46,"['Mystery & Thriller', 'Horror', 'Adventure']",PG-13,1h 29m,2017,"['Claire Holt', 'Mandy Moore', 'Chris Johnson', 'Yani Gellman', 'Santiago Segura']",['Johannes Roberts']
The Last Witch Hunter,18,44,26,"['Fantasy', 'Action', 'Adventure']",PG-13,1h 46m,2015,"['Vin Diesel', 'Elijah Wood', 'Rose Leslie', 'Julie Engelbrecht', 'Michael Caine']",['Breck Eisner']
The Babysitter: Killer Queen,46,59,50,"['Comedy', 'Horror']",,1h 41m,2020,"['Judah Lewis', 'Leslie Bibb', 'Bella Thorne', 'Robbie Amell', 'Emily Alyn Lind']",['Mcg']
VHYes,79,71,76,['Comedy'],,1h 12m,2019,"['Kerri Kenney', 'Thomas Lennon', 'Mark Proksch', 'Charlyne Yi', 'John Gemberling']",['Jack Henry Robbins']
Dear Pillow,86,75,82,['Drama'],,1h 25m,2004,"['Rusty Kelley', 'Gary Chason', 'Viviane Vives', 'John Erler', 'Cory Criswell']",['Bryan Poyser']
Sophie's Choice,76,85,79,['Drama'],R,2h 30m,1982,"['Meryl Streep', 'Kevin Kline', 'Peter MacNicol', 'Josef Sommer', 'Rita Karin']",['Alan J Pakula']
Feedback,64,50,59,['Mystery & Thriller'],,1h 38m,2019,"['Eddie Marsan', 'Paul Anderson', 'Ivana Baquero', 'Richard Brake', 'Oliver Coopersmith']",['Pedro C Alonso']
Adam,87,50,74,['Drama'],,1h 38m,2019,"['Lubna Azabal', 'Nisrin Erradi', 'Douae Belkhaouda', 'Aziz Hattab', 'Hasna Tamtaoui']",['Maryam Touzani']
The Prom,54,62,56,"['Musical', 'Comedy', 'LGBTQ+']",PG-13,2h 11m,2020,"['Meryl Streep', 'James Corden', 'Nicole Kidman', 'Keegan-Michael Key', 'Andrew Rannells']",['Ryan Murphy']
Robin's Wish,90,88,89,['Documentary'],,1h 17m,2020,"['Susan Marie Schneider', 'Carter Ham', 'John R. Montgomery', 'Shawn Levy', 'Mort Sahl']",['Tylor Norwood 2']
Lift,100,94,97,['Documentary'],PG-13,1h 27m,2022,"['Victor Abreu', 'Steven Melendez', 'David Petersen', 'Mary Recine', 'David Petersen']",['David Petersen']
The Haunting in Connecticut 2: Ghosts of Georgia,19,44,27,['Horror'],R,1h 41m,2013,"['Abigail Spencer', 'Chad Michael Murray', 'Katee Sackhoff', 'Emily Alyn Lind', 'Cicely Tyson']",['Tom Elkins']
Miles Davis: Birth of the Cool,92,82,88,"['Documentary', 'Music']",,1h 55m,2019,"['Stanley Nelson', 'Michael Kantor', 'Geoff Kempin', 'Terry Shand', 'Nicole London']",['Stanley Nelson']
Paydirt,20,23,21,"['Action', 'Mystery & Thriller', 'Crime', 'Drama']",,1h 25m,2020,"['Luke Goss', 'Val Kilmer', 'Mike Hatton', 'Paul Sloan', 'Nick Vallelonga']",['Christian Sesma']
The Mating Habits of the Earthbound Human,33,72,46,['Comedy'],R,1h 30m,1999,"['Mackenzie Astin', 'Carmen Electra', 'Markus Redmond', 'Lucy Liu', 'Lisa Rotondi']",['Jeff Abugov']
Lucky Grandma,96,74,88,['Drama'],,1h 40m,2019,"['Christine Chang', 'Wayne Chang', 'Lyman Chen', 'Clem Cheung', 'Tsai Chin']",['Sasie Sealy']
537 Votes,100,66,88,['Documentary'],,Documentary,2020,"['Billy Corben', 'Billy Corben', 'Alfred Spellman', 'Adam McKay', 'Todd Schulman']",['1173408 Billy Corben']
The Overture,60,86,68,['Drama'],,1h 44m,2004,"['Anuchit Sapunpohng', 'Adul Dulyarat', 'Aratee Benchadhikul', 'Narongrit Tosa-nga', 'Pongpat Wachirabunjong']",['Ittisoontorn Vichailak']
Universal Soldier II: Brothers in Arms,0,9,3,['Sci-Fi'],TV14,1h 33m,1998,"['Matt Battaglia', 'Chandra West', 'Jeff Wincott', 'Gary Busey', 'Burt Reynolds']",['Jeff Woolnough']
Home of the Brave,23,46,30,"['Drama', 'War']",R,1h 46m,2006,"['Samuel L. Jackson', 'Jessica Biel', 'Brian Presley', '50 Cent', 'Christina Ricci']",['Irwin Winkler']
