name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
The Dark Knight,94,94,94,"['Action', 'Adventure', 'Fantasy']",PG-13,2h 32m,2008,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal']",['Christopher Nolan']
Man of Steel,56,75,62,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",PG-13,2h 23m,2013,"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Diane Lane', 'Russell Crowe']",['Zack Snyder']
The Dark Mirror,71,58,66,"['Crime', 'Drama']",,1h 25m,1946,"['Olivia de Havilland', 'Lew Ayres', 'Thomas Mitchell', 'Richard Long', 'Garry Owen']",['Robert Siodmak']
The Conspiracy,88,62,79,['Mystery & Thriller'],,1h 25m,2012,"['Aaron Poole', 'James Gilbert', 'A.C. Peterson', 'Ron Kennell', 'Ian Matthews']",['Christopher Macbride']
Cavalcade,65,26,51,['Drama'],,1h 49m,1933,"['Diana Wynyard', 'Clive Brook', ""Una O'Connor"", 'Herbert Mundin', 'Beryl Mercer']",['Frank Lloyd']
The Reluctant Fundamentalist,57,61,58,['Drama'],R,2h 8m,2012,"['Riz Ahmed', 'Liev Schreiber', 'Kate Hudson', 'Kiefer Sutherland', 'Om Puri']",['Mira Nair']
In the Dark Half,67,26,53,"['Drama', 'Mystery & Thriller']",,1h 25m,2012,"['Jessica Barden', 'Simon Armstrong', 'Georgia Henshaw', 'Tim Lewis', 'Tony Curran']",['Alastair Siddons']
"This Is Not a Burial, It's a Resurrection",100,90,96,['Drama'],,2h 0m,2019,"['Mary Twala', 'Jerry Mofokeng', 'Makhaola Ndebele', 'Tseko Monaheng', 'Siphiwe Nzima-Ntskhe']",['Lemohang Jeremiah Mosese']
Sweet and Lowdown,77,82,78,"['Comedy', 'Drama']",PG-13,1h 35m,1999,"['Sean Penn', 'Samantha Morton', 'Uma Thurman', 'Brian Markinson', 'Anthony LaPaglia']",['Woody Allen']
Tchoupitoulas,83,68,78,['Documentary'],,1h 20m,2012,"['Bill Ross IV', 'Turner Ross', 'Bill Ross IV', 'Turner Ross', 'Michael Gottwald']","['Bill Ross Iv', 'Turner Ross']"
Phantom,23,44,30,"['Mystery & Thriller', 'Drama']",,2h 16m,2015,"['Saif Ali Khan', 'Katrina Kaif', 'Rajesh Tailang', 'Sabyasachi Chakraborty', 'Mohammed Zeeshan Ayyub']",['Kabir Khan']
The Victors,20,76,38,['War'],,2h 36m,1963,"['George Hamilton', 'George Peppard', 'Eli Wallach', 'Vince Edwards', 'James Mitchum']",['Carl Foreman']
The In-Laws,33,40,35,['Comedy'],PG-13,1h 38m,2003,"['Michael Douglas', 'Albert Brooks', 'Robin Tunney', 'Ryan Reynolds', 'Candice Bergen']",['Andrew Fleming']
Stitches,42,40,41,"['Comedy', 'Horror']",R,1h 26m,2012,"['Tommy Knight', 'Ross Noble', 'Gemma-Leah Devereux', 'John McDonnell', 'Valerie Spelman']",['Conor Mcmahon']
