name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
The Rise and Fall of Legs Diamond,71,85,75,"['Crime', 'Drama']",,1h 41m,1960,"['Ray Danton', 'Karen Steele', 'Elaine Stewart', 'Jesse White', 'Simon Oakland']",['Bud Boetticher']
The Art of Racing in the Rain,45,96,62,"['Comedy', 'Drama']",PG,1h 49m,2019,"['Milo Ventimiglia', 'Amanda Seyfried', 'Kathy Baker', 'Martin Donovan', 'Gary Cole']",['Simon Curtis']
Hellboy,17,48,27,"['Action', 'Adventure', 'Fantasy']",R,2h 0m,2019,"['David Harbour', 'Milla Jovovich', 'Ian McShane', 'Sasha Lane', 'Daniel Dae Kim']",['1145736 Neil Marshall']
Body at Brighton Rock,67,18,50,['Mystery & Thriller'],R,1h 27m,2019,"['Karina Fontes', 'Casey Adams', 'Emily Althaus', 'John Getz', 'Matt Peters']",['Roxanne Benjamin']
Inherit the Wind,93,91,92,['Drama'],,2h 7m,1960,"['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Florence Eldridge', 'Dick York']",['Stanley Kramer']
Pet Sematary,54,60,56,"['Horror', 'Mystery & Thriller']",R,1h 39m,1989,"['Dale Midkiff', 'Fred Gwynne', 'Denise Crosby', 'Brad Greenquist', 'Michael Lombard']",['Mary Lambert']
High Flying Bird,91,50,77,['Drama'],,1h 30m,2019,"['André Holland', 'Zazie Beetz', 'Bill Duke', 'Sonja Sohn', 'Melvin Gregg']",['Steven Soderbergh']
Bullitt County,50,75,58,"['Action', 'Drama', 'Mystery & Thriller']",,1h 36m,2017,"['Mike C. Nelson', 'Jenni Melear', 'David McCracken', 'Napoleon Ryan', 'Dorothy Lyman']",['David Mccracken']
Prospect,89,74,84,"['Sci-Fi', 'Adventure', 'Mystery & Thriller']",R,1h 38m,2018,"['Pedro Pascal', 'Sophie Thatcher', 'Jay Duplass', 'Andre Royo', 'Sheila Vand']","['Zeek Earl 2', 'Chris Caldwell']"
Rocketman,89,88,88,"['Musical', 'Biography', 'Drama', 'LGBTQ+']",R,2h 1m,2019,"['Taron Egerton', 'Jamie Bell', 'Richard Madden', 'Gemma Jones', 'Bryce Dallas Howard']",['Dexter Fletcher']
Heartlock,40,65,48,"['Crime', 'Drama']",,1h 36m,2018,"['Alexander Dreymon', 'Lesley-Ann Brandt', 'Erik LaRay Harvey', 'Cedric Young', 'Wayne David Parker']",['Jon Kauffman 2']
Long Shot,82,74,79,"['Romance', 'Comedy']",R,2h 3m,2019,"['Seth Rogen', 'Charlize Theron', 'June Diane Raphael', ""O'Shea Jackson Jr."", 'Ravi Patel']",['Jonathan Levine 2']
Elevate,67,62,65,['Documentary'],PG,1h 24m,2011,['Anne Buford'],['Anne Buford']
QT8: The First Eight,92,91,91,['Documentary'],,1h 40m,2019,"['Zoe Bell', 'Bruce Dern', 'Robert Forster', 'Michael Madsen', 'Christoph Waltz']",['Tara Wood']
Styx,93,66,84,"['Mystery & Thriller', 'Drama']",,1h 34m,2018,"['Susanne Wolff', 'Gedion Oduor Wekesa', 'Alexander Beyer', 'Inga Birkenfeld', 'Wolfgang Fischer']",['Wolfgang Fischer']
Club Paradise,11,36,19,['Comedy'],PG-13,1h 44m,1986,"['Robin Williams', ""Peter O'Toole"", 'Jimmy Cliff', 'Rick Moranis', 'Twiggy']",['Harold Ramis']
Don't Look Away,63,47,57,"['Horror', 'Mystery & Thriller']",,1h 21m,2023,"['Kelly Bastard', 'Michael Mitton', 'Colm Hill', 'Rene Lai', 'Abu Dukuly']",['Micheal Bafaro']
Spider-Man: Into the Spider-Verse,97,94,95,"['Kids & Family', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",PG,1h 57m,2018,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali', 'Brian Tyree Henry']","['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']"
Jonas Brothers: The Concert Experience,23,79,41,"['Kids & Family', 'Documentary', 'Music']",G,1h 26m,2009,"['Kevin Jonas', 'Joe Jonas', 'Nick Jonas', 'Demi Lovato', 'Taylor Swift']",['Bruce Hendricks']
Trap for Cinderella,25,24,24,['Drama'],,1h 40m,2013,"['Tuppence Middleton', 'Alexandra Roach', 'Aneurin Barnard', 'Frances de la Tour', 'Kerry Fox']",['Iain Softley']
Destiny Turns On the Radio,16,21,17,['Drama'],R,1h 41m,1995,"['James LeGros', 'Dylan McDermott', 'Quentin Tarantino', 'Nancy Travis', 'Jim Belushi']",['Jack Baran']
Nobody's Fool,25,36,28,"['Romance', 'Comedy']",R,1h 50m,2018,"['Tiffany Haddish', 'Tika Sumpter', 'Omari Hardwick', 'Whoopi Goldberg', 'Amber Riley']",['Tyler Perry']
Woodstock: Three Days That Defined a Generation,87,86,86,"['Documentary', 'Music']",,1h 36m,2019,"['Barak Goodman', 'Jamila Ephron', 'Barak Goodman', 'Don Kleszy', 'Jamila Ephron']",['Barak Goodman']
Trial by Fire,62,71,65,"['Drama', 'Biography']",R,2h 7m,2018,"[""Jack O'Connell"", 'Laura Dern', 'Emily Meade', 'Jeff Perry', 'Jade Pettyjohn']",['Ed Zwick']
Long Lost,77,73,75,['Mystery & Thriller'],,1h 35m,2018,"['Adam Weppler', 'Catherine Corcoran', 'Nicholas Tucci', 'Erik Bloomquist', 'Erik Bloomquist']",['Erik C Bloomquist']
Me and Earl and the Dying Girl,81,86,82,"['Comedy', 'Drama']",PG-13,1h 45m,2015,"['Thomas Mann', 'Olivia Cooke', 'RJ Cyler', 'Nick Offerman', 'Molly Shannon']",['Alfonso Gomez Rejon']
Arthur 2: On the Rocks,13,30,18,['Comedy'],PG,1h 53m,1988,"['Dudley Moore', 'Liza Minnelli', 'Geraldine Fitzgerald', 'John Gielgud', 'Stephen Elliott']",['Bud Yorkin']
Scrapper,93,82,89,"['Comedy', 'Drama']",,1h 24m,2023,"['Lola Campbell', 'Alin Uzun', 'Harris Dickinson', 'Ambreen Razia', 'Olivia Brady']",['Charlotte Regan']
The Church,64,49,59,['Horror'],R,1h 42m,1989,"['Asia Argento', 'Hugh Quarshie', 'Tomas Arana', 'Michele Soavi']",['Michele Soavi']
Still: A Michael J. Fox Movie,99,95,97,"['Documentary', 'Biography']",R,1h 35m,2023,"['Michael J. Fox', 'Tracy Pollan', 'Andrew Barber', 'David Diamond', 'Hannah Galway']",['Davis Guggenheim']
Good Sam,50,60,53,['Comedy'],,1h 29m,2019,"['Tiya Sircar', 'Chad Connell', 'Marco Grazzini', 'Brittany Drisdelle', 'Mark Camacho']",['Kate Melville']
Fast Color,81,58,73,"['Sci-Fi', 'Mystery & Thriller', 'Drama']",PG-13,1h 40m,2018,"['Gugu Mbatha-Raw', 'Lorraine Toussaint', 'Saniyya Sidney', 'David Strathairn', 'Christopher Denham']",['Julia Hart']
Along for the Ride,56,84,65,"['Romance', 'Drama']",,1h 46m,2022,"['Emma Pasarow', 'Belmont Cameli', 'Andie MacDowell', 'Dermot Mulroney', 'Kate Bosworth']",['Sofia Alvarez 2']
Let's Kill Ward's Wife,17,30,21,['Comedy'],,1h 32m,2014,"['Patrick Wilson', 'Scott Foley', 'Amy Acker', 'Marika Dominczyk', 'Donald Faison']",['Scott Foley']
The Mummy: Tomb of the Dragon Emperor,13,30,18,"['Adventure', 'Action', 'Fantasy']",PG-13,1h 52m,2008,"['Brendan Fraser', 'Jet Li', 'Maria Bello', 'John Hannah', 'Russell Wong']",['Rob Cohen']
Morris From America,88,60,78,"['Comedy', 'Drama']",R,1h 31m,2016,"['Craig Robinson', 'Carla Juri', 'Lina Keller', 'Markees Christmas', 'Jakub Gierszał']",['Chad Hartigan']
Men in Black: International,23,66,37,"['Sci-Fi', 'Adventure', 'Comedy', 'Action']",PG-13,1h 55m,2019,"['Chris Hemsworth', 'Tessa Thompson', 'Kumail Nanjiani', 'Rebecca Ferguson', 'Rafe Spall']",['F Gary Gray']
The Amityville Murders,0,42,14,"['Horror', 'Mystery & Thriller']",,1h 38m,2018,"['John Robinson', 'Chelsea Ricketts', 'Diane Franklin', 'Paul Ben-Victor', 'Burt Young']",['Daniel Farrands 2']
The Possession of Hannah Grace,21,28,23,"['Horror', 'Mystery & Thriller']",R,1h 25m,2018,"['Shay Mitchell', 'Grey Damon', 'Kirby Johnson', 'Nick Thune', 'Louis Herthum']",['Diederik Van Rooijen']
Fast X,56,84,65,"['Action', 'Adventure']",PG-13,2h 21m,2023,"['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'Jason Momoa']",['Louis Leterrier']
Antonio Lopez 1970: Sex Fashion & Disco,85,57,75,['Documentary'],,1h 35m,2017,"['Joan Juliet Buck', 'Michael Chow', 'Pat Cleveland', 'Grace Coddington', 'Bob Colacello']",['James Crump']
Telling Lies in America,61,45,55,['Drama'],PG-13,1h 41m,1997,"['Kevin Bacon', 'Brad Renfro', 'Maximilian Schell', 'Calista Flockhart', 'Paul Dooley']",['Guy Ferland']
The Weekend Away,39,34,37,['Mystery & Thriller'],,1h 30m,2022,"['Leighton Meester', 'Christina Wolfe', 'Ziad Bakri', 'Luke Norris', 'Amar Bukvic']",['Kim Farrant']
Ulysses,91,67,83,['Drama'],,2h 20m,1967,"[""Milo O'Shea"", 'Maurice Roëves', 'Barbara Jefford', 'Joseph Strick']",['Joseph Strick']
Terror on the Prairie,83,82,82,"['Western', 'Mystery & Thriller', 'Action']",,1h 47m,2022,"['Gina Carano', 'Donald Cerrone', 'Nick Searcy', 'Tyler Fischer', 'Heath Freeman']",['Mike Polish']
