,name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
0,Spoiler Alert,86,97,89,"['Comedy', 'Drama', 'Romance', 'LGBTQ+']",PG-13,1h 52m,2022,"['Jim Parsons', 'Ben Aldridge', 'Sally Field', 'Bill Irwin', 'Jeffery Self']",['Michael Showalter']
1,Those Who Walk Away,33,93,53,"['Horror', 'Mystery & Thriller']",,1h 34m,2022,"['Booboo Stewart', 'Scarlett Sperduto', 'Nils Allen Stewart', 'Bryson JonSteele', 'Josh Bradshaw']",['Robert Rippberger']
2,Virtually Heroes,33,67,44,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'War']",,1h 27m,2013,"['Robert Baker', 'Brent Chase', 'Katie Savoy', 'Mark Hamill', 'Ben Messmer']",['Gj Echternkamp']
3,Somebody I Used To Know,71,60,67,"['Romance', 'Comedy']",R,1h 46m,2023,"['Alison Brie', 'Jay Ellis', 'Kiersey Clemons', 'Danny Pudi', 'Olga Merediz']",['Dave Franco']
4,The Mother,43,62,49,"['Action', 'Mystery & Thriller']",R,1h 56m,2023,"['Jennifer Lopez', 'Joseph Fiennes', 'Gael García Bernal', 'Omari Hardwick', 'Paul Raci']",['Niki Caro']
5,Mind Leech,100,100,99,['Horror'],,1h 0m,2023,"['Steff Ivory Conover', ""Mischa O'Hoski"", 'Paul Krysinski', 'Ryan Brown', 'Jeff William Campbell']",['Chris Cheeseman']
6,The Magician's Elephant,65,83,71,"['Kids & Family', 'Adventure', 'Animation']",PG,1h 43m,2023,"['Noah Jupe', 'Mandy Patinkin', 'Brian Tyree Henry', 'Sian Clifford', 'Benedict Wong']",['Wendy Rogers']
7,Your Place or Mine,30,36,32,"['Romance', 'Comedy']",PG-13,1h 49m,2023,"['Reese Witherspoon', 'Ashton Kutcher', 'Steve Zahn', 'Wesley Kimmel', 'Rachel Bloom']",['Aline Brosh Mckenna']
8,Follow the Dead,100,83,94,"['Comedy', 'Drama', 'Horror']",,1h 33m,2020,"['Luke Corcoran', 'Cristina Ryan', 'Aidan O Sullivan', 'Tadhg Devery', 'Marybeth Herron']",['Adam William Cahill']
9,Seriously Red,52,53,52,"['Comedy', 'Music', 'Drama']",R,1h 44m,2021,"['Krew Boylan', 'Rose Byrne', 'Bobby Cannavale', 'Daniel Webber', 'Celeste Barber']",['Gracie Otto']
10,Transfusion,57,48,54,"['Mystery & Thriller', 'Action', 'Crime', 'Drama']",R,1h 45m,2023,"['Sam Worthington', 'Phoebe Tonkin', 'Matt Nable', 'Susie Porter', 'Edward Carmody']",['Matt Nable']
11,The Subtle Art of Not Giving a #@%!,71,40,60,"['Documentary', 'Comedy']",R,1h 37m,2023,"['Mark Manson', 'Nathan Price', 'Tom Blackwell', 'Matthew Metcalfe', 'Matthew Metcalfe']",['Nathan Price 3']
12,Living with Chucky,72,83,75,"['Documentary', 'Horror']",,1h 40m,2022,"['Don Mancini', 'Brad Dourif', 'Jennifer Tilly', 'Tony Gardner', 'David Kirschner']",['Kyra Elise Gardner']
13,All the Wilderness,60,43,54,['Drama'],,1h 57m,2014,"['Kodi Smit-McPhee', 'Isabelle Fuhrman', 'Virginia Madsen', 'Danny DeVito', 'Evan Ross']",['Michael Johnson 11']
14,Damsel,68,53,62,"['Comedy', 'Western']",R,1h 53m,2018,"['Robert Pattinson', 'Mia Wasikowska', 'David Zellner', 'Nathan Zellner', 'Robert Forster']","['David Zellner', 'Nathan Zellner']"
15,Peter Pan & Wendy,64,11,46,"['Kids & Family', 'Fantasy', 'Adventure']",PG,1h 46m,2023,"['Alexander Molony', 'Ever Anderson', 'Jude Law', 'Alyssa Wapanatâhk', 'Jim Gaffigan']",['David Lowery']
16,A-ha: The Movie,84,73,80,"['Documentary', 'Music']",,1h 49m,2021,"['Morten Harket', 'Magne Furuholmen', 'Pål Waaktaar', 'Thomas Robsahm', 'Aslaug Holm']","['Thomas Robsahm', 'Aslaug Holm']"
17,True Spirit,79,71,76,"['Drama', 'Biography']",TVPG,1h 49m,2023,"['Teagan Croft', 'Cliff Curtis', 'Anna Paquin', 'Josh Lawson', 'Todd Lasance']",['Sarah Spillane']
18,Acidman,76,76,76,"['Drama', 'Sci-Fi']",,1h 27m,2022,"['Thomas Haden Church', 'Dianna Agron', 'Sameerah Luqmaan-Harris', 'Alex Lehmann', 'Chris Dowling']",['Alexandre Lehmann']
19,Sharper,69,72,70,['Drama'],R,1h 56m,2023,"['Julianne Moore', 'Sebastian Stan', 'Justice Jesse Smith', 'Briana Middleton', 'John Lithgow']",['Benjamin Caron']
20,A Tourist's Guide to Love,67,58,64,['Romance'],,1h 34m,2023,"['Rachael Leigh Cook', 'Scott Ly', 'Missi Pyle', 'Ben Feldman', 'Andrew Barth Feldman']",['Steven Tsuchida']
21,Swallowed,82,80,81,"['Horror', 'Mystery & Thriller', 'LGBTQ+']",R,1h 33m,2022,"['Jena Malone', 'Cooper Koch', 'Jose Colon', 'Mark Patton', 'Carter Smith']",['Carter Smith']
22,Sorry About the Demon,91,56,79,"['Comedy', 'Horror']",,1h 45m,2022,"['Jon Michael Simpson', 'Jeff McQuitty', 'Olivia Ducayen', 'Paige Evans', 'Dave Peniuk']",['Emily Hagins']
23,They Cloned Tyrone,95,100,96,"['Sci-Fi', 'Comedy']",R,2h 2m,2023,"['John Boyega', 'Jamie Foxx', 'Teyonah Parris', 'Kiefer Sutherland', 'David Alan Grier']",['Juel Taylor']
24,Tetris,82,87,83,"['Mystery & Thriller', 'Biography', 'Drama']",R,1h 58m,2023,"['Taron Egerton', 'Nikita Efremov', 'Toby Jones', 'Sofya Lebedeva', 'Ben Miles']",['Jon S Baird']
25,Infinity Pool,87,52,75,"['Horror', 'Mystery & Thriller', 'Sci-Fi']",R,1h 57m,2023,"['Alexander Skarsgård', 'Mia Goth', 'Cleopatra Coleman', 'Thomas Kretschmann', 'Amanda Brugel']",['Brandon Cronenberg']
