0,Shapeless,76,43,65,"['Horror', 'Mystery & Thriller', 'Drama']",,1h 28m,2021,"['Kelly Murtagh', 'Bobby Gilchrist', 'Jamie Neumann', 'Marco Dapper', 'Erika Ashley']",['Samantha Aldana 2']
1,The Other Side of Darkness,50,93,64,"['Adventure', 'Action', 'Drama']",,1h 59m,2022,"['Maggie Callahan', 'Scott Davis', 'Olivia Billings', 'Drake Tobias', 'Adam Deierling']",['Adam Deierling']
2,Stoker Hills,17,99,44,"['Horror', 'Mystery & Thriller', 'Action']",,1h 31m,2020,"['Tony Todd', 'Steffani Brass', 'David Gridley', 'Vince Hill-Bedford', 'William Lee Scott']",['Benjamin Louis']
3,It's a Wonderful Binge,25,96,48,"['Holiday', 'Comedy']",,1h 38m,2022,"['Eduardo Franco', 'Dexter Darden', 'Zainne Saleh', 'Marta Piekarz', 'Danny Trejo']",['Jordan Vandina']
4,ECCO,18,80,38,"['Mystery & Thriller', 'Drama']",R,2h 3m,2019,"['Lathrop Walker', 'Tabitha Bastien', 'Helena Grace Donald', 'Mahria Zook', 'Michael Winters']",['Ben Medina 2']
5,End of the Road,31,16,25,"['Mystery & Thriller', 'Crime', 'Action']",R,1h 29m,2022,"['Queen Latifah', 'Beau Bridges', 'Ludacris', 'Jesse Luken', 'Frances Lee McCain']",['Millicent Shelton']
6,The Last Tourist,100,67,88,['Documentary'],,1h 24m,2021,"['Jane Goodall', 'Lek Chailert', 'George Stone', 'Meenu Vadera', 'Jonathan Tourtellot']",['Tyson Sadler']
7,Diary of a Spy,57,67,60,"['Mystery & Thriller', 'Romance', 'Drama']",,1h 39m,2022,"['Tamara Taylor', 'Reece Noi', 'Fred Melamed', 'Jon Lindstrom', 'Susan Sullivan']",['Adam Christian Clark']
8,Girl in the Picture,96,83,91,['Documentary'],,1h 41m,2022,"['Sarah French', 'Matt Birkbeck', 'Skye Borgman', 'Matt Birkbeck']",['770922101']
9,Measure of Revenge,12,54,26,['Mystery & Thriller'],,1h 32m,2022,"['Melissa Leo', 'Bella Thorne', 'Jake Weary', 'Adrian Martinez', 'Roma Maffia']",['Peyfa']
10,The Bad Guys,88,93,89,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 39m,2022,"['Sam Rockwell', 'Zazie Beetz', 'Marc Maron', 'Awkwafina', 'Craig Robinson']",['Pierre Perifel']
11,Descendant,100,63,87,['Documentary'],PG,1h 49m,2022,"['Margaret Brown', 'Margaret Brown', 'Essie Chambers', 'Kyle Martin', 'Shawn Gee']",['Margaret Brown']
12,Last Seen Alive,13,47,24,"['Action', 'Mystery & Thriller']",R,1h 35m,2022,"['Gerard Butler', 'Jaimie Alexander', 'Russell Hornsby', 'Dani Deette', 'Aleks Alifirenko Jr.']",['Brian Goodman']
13,The Sea Beast,95,84,91,"['Kids & Family', 'Fantasy', 'Adventure', 'Comedy', 'Animation']",PG,1h 55m,2022,"['Karl Urban', 'Zaris-Angel Hator', 'Jared Harris', 'Dan Stevens', 'Marianne Jean-Baptiste']",['Chris Williams 2']
14,Pearl,93,82,89,"['Horror', 'Mystery & Thriller', 'Comedy']",R,1h 42m,2022,"['Mia Goth', 'David Corenswet', 'Tandi Wright', 'Matthew Sunderland', 'Emma Jenkins-Purro']",['Ti West']
15,Margaux,63,28,51,"['Horror', 'Mystery & Thriller', 'Sci-Fi']",R,1h 45m,2022,"['Madison Pettis', 'Vanessa Morgan', 'Richard Harmon', 'Lochlyn Munro', 'Jedidiah Goodacre']",['Steven C Miller']
16,Tin Can,80,41,67,"['Horror', 'Sci-Fi', 'Mystery & Thriller']",,1h 44m,2021,"['Anna Hopkins', 'Simon Mutabazi', 'Michael Ironside', 'Tim Dunn', 'Kristin Langille']",['Seth A Smith']
17,I Am D.B. Cooper,22,80,41,"['Crime', 'Drama']",,1h 40m,2022,"['Ryan Cory', 'Chris Grounds', 'Rodney Bonnifield', 'Mike Rocha', 'Rainee Blake']",['Tj Regan']
18,How to Survive a Pandemic,82,38,67,['Documentary'],,1h 49m,2022,"['Dr. Anthony Fauci', 'Dr. Albert Bourla', 'Jon Cohen', 'Dr. Dan Barouch', 'Glenda Gray']",['David France']
19,Vinyl Nation,100,84,94,"['Documentary', 'Music']",,1h 33m,2020,"['Judy Mills', 'Ashley Ford', 'Kelly Stacy', 'John Vanderslice', 'KutMasta Kurt']","['Kevin Smokler', 'Christopher Boone 2']"
20,Harry Potter 20th Anniversary: Return to Hogwarts,93,86,90,"['Documentary', 'Fantasy', 'Kids & Family']",,1h 45m,2022,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Chris Columbus', 'Helena Bonham Carter']",['Casey Patterson']
21,The Redeem Team,93,94,93,"['Documentary', 'Sports']",,Documentary/Sports,2022,"['Dwyane Wade', 'LeBron James', 'Mike Krzyzewski', 'Jon Weinbach', 'Greg Groggel']",['Jon Weinbach']
22,Hold Your Fire,95,54,81,"['Documentary', 'History']",,1h 33m,2021,"[""Shu'aib Raheem"", 'Harvey Schlossberg', 'Stefan Forbes', 'Stefan Forbes', 'Tia Wou']",['Stefan Forbes']
23,Revealer,64,61,63,['Horror'],,1h 26m,2022,"['Caito Aase', 'Shaina Schrooten', 'Bishop Stevens', 'Buzz Leer', 'Phil Bogdan']",['Luke Boyce']
