0,The United States vs. Billie Holiday,55,79,63,"['History', 'Drama', 'Biography', 'Music']",R,2h 10m,2021,"['Andra Day', 'Trevante Rhodes', 'Garrett Hedlund', 'Natasha Lyonne', ""Da'Vine Joy Randolph""]",['Lee Daniels']
1,The Man Who Loved Women,33,39,35,['Comedy'],R,1h 50m,1983,"['Burt Reynolds', 'Julie Andrews', 'Kim Basinger', 'Marilu Henner', 'Cynthia Sikes']",['Sam O Brown']
2,Redemption Day,13,49,25,"['Action', 'Mystery & Thriller']",R,1h 40m,2021,"['Gary Dourdan', 'Serinda Swan', 'Martin Donovan', 'Ernie Hudson', 'Andy Garcia']",['Hicham Hajji']
3,Becoming Cousteau,98,84,93,"['Documentary', 'Biography']",PG-13,1h 33m,2021,"['Vincent Cassel', 'Jacques-Yves Cousteau', 'Liz Garbus', 'Mark Monroe', 'Pax Wassermann']",['Liz Garbus']
4,Agnes,67,26,53,"['Horror', 'Drama']",,1h 33m,2021,"['Molly C. Quinn', 'Jake Horowitz', 'Sean Gunn', 'Chris Browning', 'Ben Hall']",['Mickey Reece']
5,The Birthday Cake,23,91,45,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 23m,2021,"['Shiloh Fernandez', 'Val Kilmer', 'Ewan McGregor', 'Paul Sorvino', 'William Fichtner']",['G']
6,The Kill Hole,25,27,25,"['Action', 'Mystery & Thriller']",,1h 31m,2012,"['Chadwick Boseman', 'Tory Kittles', 'Billy Zane', 'Peter Greene', 'Ted Rooney']",['Mischa Webley']
7,Seaspiracy,75,87,79,['Documentary'],,1h 29m,2021,"['Ali Tabrizi', 'Kip Andersen']",['Ali Tabrizi']
8,The Fox and the Hound,75,78,76,"['Kids & Family', 'Drama', 'Animation']",G,1h 23m,1981,"['Mickey Rooney', 'Kurt Russell', 'Pearl Bailey', 'Jack Albertson', 'Sandy Duncan']","['Ted Berman', 'Richard Rich', 'Art Stevens']"
9,Hacksaw Ridge,84,91,86,"['War', 'History', 'Drama', 'Biography']",R,2h 19m,2016,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer', 'Hugo Weaving']",['Mel Gibson']
10,The Blazing World,59,84,67,"['Horror', 'Mystery & Thriller']",,1h 41m,2021,"['Carlson Young', 'Dermot Mulroney', 'John Karna', 'Ace Anderson', 'Sophia Bernard']",['Carlson Young']
11,Luz,43,99,61,"['Drama', 'Romance', 'LGBTQ+']",,1h 58m,2020,"['Ernesto Reyes', 'Jesse Tayeh', 'Jimmy Garcia', 'Alma Gloria Garcia', 'Lowell Deo']",['Jon Garcia']
12,The Last Mimzy,55,54,54,"['Kids & Family', 'Fantasy', 'Adventure']",PG,1h 38m,2007,"['Joely Richardson', 'Timothy Hutton', 'Rainn Wilson', 'Rhiannon Leigh Wryn', ""Chris O'Neil""]",['Le Moko']
13,The Rundown,70,66,68,"['Adventure', 'Action', 'Comedy']",PG-13,1h 44m,2003,"['Dwayne Johnson', 'Seann William Scott', 'Rosario Dawson', 'Christopher Walken', 'Ewen Bremner']",['Pete Berg']
14,Hey Hey It's Esther Blueburger,50,55,51,"['Comedy', 'Drama']",PG-13,1h 43m,2008,"['Keisha Castle-Hughes', 'Danielle Catanzariti', 'Essie Davis', 'Russell Dykstra', 'Nikita Adams']",['Cathy Randall']
15,The Return of Tanya Tucker: Featuring Brandi Carlile,92,96,93,"['Documentary', 'Music']",R,1h 48m,2022,"['Tanya Tucker', 'Brandi Carlile', 'Kathlyn Horan', 'Kathlyn Horan', 'Julie Goldman']",['Kathlyn Horan']
16,John and the Hole,60,27,49,"['Mystery & Thriller', 'Drama']",R,1h 44m,2020,"['Charlie Shotwell', 'Michael C. Hall', 'Taissa Farmiga', 'Jennifer Ehle', ""Ben O'Brien""]",['Pascual Sisto 2']
17,Beanie Mania,100,74,91,['Documentary'],,Documentary,2021,"['Yemisi Brookes', 'Angie Day', 'Sunshine Jackson', 'Matt Robins', 'Gillian Pachter']",['Yemisi Brookes']
18,Here After,30,23,27,"['Romance', 'Comedy', 'Fantasy']",,1h 58m,2020,"['Christina Ricci', 'Andy Karl', 'Nora Arnezeder', 'Jackie Cruz', 'Michael Rispoli']",['Harry Greenberger']
19,A Choice of Weapons: Inspired by Gordon Parks,88,41,72,['Documentary'],,1h 30m,2021,"['Kareem Abdul-Jabaar', 'Anderson Cooper', 'Spike Lee', 'Gordon Parks', 'LaToya Ruby Frazier']",['John Maggio']
20,The Draughtsman's Contract,97,85,92,"['Comedy', 'Drama']",R,1h 48m,1982,"['Anthony Higgins', 'Janet Suzman', 'Anne Louise Lambert', 'Neil Cunningham', 'Dave Hill']",['Peter Greenaway']
21,What Time Is It There?,85,79,83,"['Comedy', 'Drama']",,1h 56m,2001,"['Lee Kang-sheng', 'Shiang-chyi Chen', 'Chen Yi-ching', 'Miao Tien', 'Cecilia Yip']",['771484376']
22,Out of the Dark,24,23,23,"['Horror', 'Mystery & Thriller']",R,1h 32m,2014,"['Julia Stiles', 'Scott Speedman', 'Stephen Rea', 'Pixie Davies', 'Alejandro Furth']",['Lluis Quilez']
23,The Basement,20,27,22,['Horror'],,1h 30m,2018,"['Mischa Barton', 'Tracie Thoms', 'Bailey Anne Borders', 'Jackson Davis', 'Kareem J. Grimes']","['Brian M Conley', 'Nathan Ives']"
24,Small Town Wisconsin,83,88,84,"['Comedy', 'Drama']",,1h 49m,2020,"['David Sullivan', 'Bill Heck', 'Kristen Johnston', 'Tanya Fischer', 'Cooper J. Friedman']",['Niels Mueller']
25,The Scrapper,88,80,85,"['Mystery & Thriller', 'Crime', 'Drama']",,1h 27m,2021,"['Bari Kang', 'Samrat Chakrabarti', 'Craig muMs Grant', 'Ava Paloma', 'Anil Kumar']",['Bari Kang']
26,Exodus,65,69,66,"['History', 'Drama']",,3h 27m,1960,"['Paul Newman', 'Eva Marie Saint', 'Ralph Richardson', 'Peter Lawford', 'Lee J. Cobb']",['Otto Preminger']
27,Lady of the Manor,25,39,29,"['Comedy', 'Fantasy']",R,1h 36m,2021,"['Melanie Lynskey', 'Judy Greer', 'Justin Long', 'Luis Guzmán', 'Ryan Phillippe']","['Justin Long', 'Christian Long']"
28,The Face of Love,44,32,40,"['Drama', 'Romance']",PG-13,1h 32m,2013,"['Annette Bening', 'Ed Harris', 'Robin Williams', 'Jess Weixler', 'Amy Brenneman']",['Arie Posin']
29,Stray Dogs,86,52,74,['Drama'],,2h 18m,2013,"['Shiang-chyi Chen', 'Lee Kang-sheng', 'Yi-Ching Lu', 'Yi Cheng Lee', 'Yi Chieh Lee']",['771484376']
30,Sankofa,93,89,91,['Drama'],,2h 4m,1993,"['Oyafunmike Ogunlano', 'Kofi Ghanaba', 'Alexandra Duah', 'Nick Medley', 'Haile Gerima']",['Haile Gerima']
31,The Subject,67,33,55,['Drama'],,1h 59m,2020,"['Jason Biggs', 'Aunjanue Ellis-Taylor', 'Anabelle Acosta', 'Carra Patterson', 'Nile Bullock']",['Lanie Zipoy']
32,Good,34,32,33,"['History', 'Drama']",R,1h 36m,2008,"['Viggo Mortensen', 'Jason Isaacs', 'Jodie Whittaker', 'Mark Strong', 'Steven Mackintosh']",['Vicente Amorim']
33,Ride the Eagle,84,67,78,['Comedy'],,1h 25m,2021,"['Jake Johnson', 'Susan Sarandon', 'J.K. Simmons', ""D'Arcy Carden"", 'Eric Edelstein']",['Trent Odonnell']
34,My True Fairytale,38,50,42,"['Drama', 'Mystery & Thriller']",,1h 26m,2021,"['Emma Kennedy', 'Bruce Davison', 'Joanna Cassidy', 'Taylor Cole', 'Corin Nemec']",['D Mitry 2']
35,Undercover Punch and Gun,17,20,18,"['Action', 'Mystery & Thriller']",,1h 32m,2019,"['Nicholas Tse', 'Philip Ng', 'Andy On', 'Carrie Ng', 'Vanness Wu']","['Lui Koon Nam', 'Frankie Tam']"
36,The Cleaner,83,87,84,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 33m,2021,"['King Orba', 'Lynda Carter', 'Luke Wilson', 'Noel Gugliemi', 'Soleil Moon Frye']",['Erin Elders']
37,The Last Time I Saw Macao,91,50,77,"['Crime', 'Drama']",,1h 25m,2012,"['João Rui Guerra Da Mata', 'João Pedro Rodrigues', 'Cindy Scrash', 'João Pedro Rodrigues', 'João Rui Guerra Da Mata']","['Joao Pedro Rodrigues', 'Joao Rui Guerra Da Mata']"
38,Up Close & Personal,32,66,43,['Romance'],PG-13,2h 4m,1996,"['Robert Redford', 'Michelle Pfeiffer', 'Stockard Channing', 'Joe Mantegna', 'Kate Nelligan']",['Jon Avnet']
