0,A Charlie Brown Thanksgiving,67,76,70,"['Kids & Family', 'Holiday', 'Comedy', 'Animation']",TVG,25m,1973,"['Todd Barbee', 'Robin Kohn', 'Stephen Shea', 'Hilary Momberger', 'Christopher DeFaria']","['Bill Melendez', 'Phil Roman']"
1,Brian Wilson: Long Promised Road,89,83,87,"['Documentary', 'Music']",,1h 33m,2021,"['Brian Wilson', 'Elton John', 'Bruce Springsteen', 'Nick Jonas', 'Jason Fine']",['Brent Wilson 2']
2,The Serpent and the Rainbow,62,57,60,"['Horror', 'Fantasy']",R,1h 38m,1988,"['Bill Pullman', 'Cathy Tyson', 'Zakes Mokae', 'Paul Winfield', 'Brent Jennings']",['Wes Craven']
3,Boricua's Bond,11,48,23,['Drama'],R,1h 45m,2000,"['Frankie Negron', 'Val Lik', 'Ramses Ignacio', 'Jorge Gautier', 'Jesglar Cabral']",['Val Lik']
4,Censor,89,57,78,"['Horror', 'Mystery & Thriller']",,1h 24m,2021,"['Niamh Algar', 'Michael Smiley', 'Nicholas Burns', 'Vincent Franklin', 'Sophia La Porta']",['Prano Bailey Bond']
5,Monday,49,68,55,"['Romance', 'Drama']",R,1h 56m,2020,"['Sebastian Stan', 'Denise Gough', 'Yorgos Pirpassopoulos', 'Dominique Tipper', 'Elli Tringou']",['Argyris Papadimitropoulos']
6,Mogul Mowgli,93,74,86,['Drama'],,1h 30m,2020,"['Riz Ahmed', 'Alyy Khan', 'Sudha Bhuchar', 'Aiysha Hart', 'Kiran Sonia Sawar']",['Bassam Tariq']
7,Young Hearts,55,60,56,['Romance'],,1h 21m,2020,"['Anjini Taneja Azhar', 'Quinn Liebling', 'Alex Jarmon', 'Ayla Carda', 'Kelly Grace Richardson']","['Sarah Sherman 2', 'Zachary Ray Sherman']"
8,Savage State,42,22,35,"['Western', 'Adventure', 'Drama']",,2h 1m,2021,"['Alice Isaaz', 'Kevin Janssens', 'Déborah François', 'Bruno Todeschini', 'Constance Dollé']",['David Perrault']
9,Cold Blood,0,16,5,"['Action', 'Mystery & Thriller']",,1h 31m,2019,"['Jean Reno', 'Sarah Lind', 'Joe Anderson', 'David Gyasi', 'Francois Guetary']",['Frederic Petitjean']
10,The Boy Behind the Door,97,61,84,"['Horror', 'Mystery & Thriller']",,1h 28m,2020,"['Lonnie Chavis', 'Ezra Dewey', 'Kristin Bauer', 'Scott Michael Foster', 'Micah A. Hauptman']","['David Charbonier 2', 'Justin Powell 2']"
11,Hunted,56,48,53,"['Action', 'Mystery & Thriller']",R,1h 34m,2022,"['Samantha Bond', 'Malachi Pullar-Latchman', 'James Lance', 'Hannah Traylen', 'Nick Moran']",['Tommy Boulding']
12,Peter Rabbit 2: The Runaway,67,89,74,"['Kids & Family', 'Comedy', 'Fantasy', 'Adventure']",PG,1h 33m,2021,"['James Corden', 'Rose Byrne', 'Domhnall Gleeson', 'David Oyelowo', 'Elizabeth Debicki']",['Will Gluck']
13,The Unholy,27,56,36,"['Horror', 'Mystery & Thriller']",PG-13,1h 39m,2021,"['Jeffrey Dean Morgan', 'Cricket Brown', 'Cary Elwes', 'Katie Aselton', 'William Sadler']",['Evan Spiliotopoulos']
14,Jakob's Wife,85,61,77,['Horror'],,1h 38m,2021,"['Barbara Crampton', 'Larry Fessenden', 'Bonnie Aarons', 'Nyisha Bell', 'Mark Kelly']",['Travis Stevens']
15,Shadows,60,57,59,['Drama'],,2h 10m,2007,"['Borce Nacev', 'Vesna Stanojevska', 'Milcho Manchevski', 'Milcho Manchevski']",['Milcho Manchevski']
16,I Was a Male War Bride,76,72,74,['Comedy'],,1h 45m,1949,"['Cary Grant', 'Ann Sheridan', 'Marion Marshall', 'Randy Stuart', 'Bill Neff']",['Howard Hawks']
17,Come True,85,57,75,"['Sci-Fi', 'Horror']",,1h 45m,2020,"['Julia Sarah Stone', 'Landon Liboiron', 'Carlee Ryski', 'Christopher Heatherington', 'Tedra Rogers']",['Anthony Scott Burns']
