Genre,R-Squared,Diversity Index Coefficient,Budget Coefficient,Year Coefficient
Drama,0.22544683416748046,1509.6665463398829,4.0155170706571445e-07,6.935924725579299
Comedy,0.14042723906182963,-1819.5403028035148,6.534270653466262e-07,3.1468259685420144
Mystery & Thriller,0.264117010398772,-2375.1381257359903,-5.769422930425602e-06,13.83692488973066
Action,0.2789637135918389,-468.5107505831338,3.5859126905146586e-07,3.9259536172378096
Adventure,0.29809105618555887,64.78076861187577,2.456729095187852e-06,-2.2320064339057972
Fantasy,0.15733976540892614,-881.7038932831175,-8.07060535437557e-07,16.173697815136965
Romance,0.20495069683287004,-1854.5145604789268,-1.6043167865711805e-06,30.31063874468796
Horror,0.28928466759690663,1639.0710307891043,-1.1452741085849632e-05,29.287611428675483
Kids & Family,0.0776566305892471,105.38255881223014,-4.421886037881458e-07,5.725630275617252
Sci-Fi,0.24477158026065882,-889.0168333222114,9.569477313130057e-07,1.4382254781190908
