Genre,R-Squared,Diversity Index Coefficient,Budget Coefficient,Year Coefficient
Drama,0.7244550898621331,69.36073636284107,1.5046455605719118e-07,0.45027239572432176
Comedy,0.8319212186553829,31.091373156317633,-9.011525195680306e-09,1.4049934624149407
Mystery & Thriller,0.28981829819292215,16.489737802723795,-2.1304787113660505e-08,0.5100811539335302
Action,0.6823021232008706,-8.020785363760595,1.0992430019770601e-07,0.856086514063211
Adventure,0.5420935054792108,-80.40712401495486,5.884705471902084e-08,0.9086083999313963
Fantasy,0.4665581287202498,182.73846331907956,9.026502573342142e-08,0.15985483999033245
Romance,0.7166213644658675,-122.40154401249217,5.590963671273262e-08,1.4678256191765655
Horror,0.33990661242082965,55.22605706160037,2.8194097805319727e-07,0.7930159020718245
Kids & Family,0.44182057760574134,46.53430149540478,1.1630772316467587e-07,0.7099562826357524
Sci-Fi,0.22490109804026004,8.717115481951737,1.060049820861696e-07,0.17816013316883206
