name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors,worldwide_revenue,budget,diversity_score
DamNation,50,80,59,"['Documentary', 'Adventure']",,1h 27m,2014,"['Ben Knight', 'Yvon Chouinard', 'Katie Lee', 'Bruce Babbitt', 'Mikal Jakubal']","['Ben Knight 2', 'Travis Rummel']",41097853,8000000,0.2793198043234376
Another Kind of Wedding,60,50,56,"['Comedy', 'Drama']",,1h 26m,2017,"['Kathleen Turner', 'Kevin Zegers', 'Jessica Paré', 'Frances Fisher', 'Jacob Tierney']",['Pat Kiely'],237202299,90000000,0.14084704707171564
Dead Man on Campus,15,55,28,['Comedy'],R,1h 33m,1998,"['Tom Everett Scott', 'Mark-Paul Gosselaar', 'Poppy Montgomery', 'Lochlyn Munro', 'Randy Pearlstein']",['Alan Cohn'],296339528,75000000,0.22947323714650972
The Fight Within,40,79,53,['Drama'],PG-13,1h 34m,2016,"['John Major Davis', 'Lelia Symington', 'Matt Leddo', 'Mike H. Taylor', 'Dan Severn']",['Michael William Gordon'],88215156,35000000,0.17300996299659516
Amnesiac,27,14,22,['Mystery & Thriller'],,1h 24m,2014,"['Kate Bosworth', 'Wes Bentley', 'Olivia Rose Keegan', 'Shashawnee Hall', 'Richard Riehle']",['Mike Polish'],162655351,30000000,0.13947675116991737
Jacqueline Argentine,29,70,42,['Mystery & Thriller'],,1h 27m,2016,"['Martin Anderson', 'James Benson', 'Wyatt Cenac', 'Sasha Dominy', 'Amr El-Bayoumi']",['Bernardo Britto'],429028,5000000,0.22334403998732863
Absolution,20,81,40,['Fantasy'],,1h 30m,2018,"['Jessica Falkholt', 'Eamon Farren', 'Jacqueline McKenzie', 'Jerome Meyer', 'Lewis Fitz-Gerald']",['Corey Pearson 2'],431971116,142000000,0.24213396366129417
What Comes Around,30,35,31,"['Mystery & Thriller', 'Romance', 'Drama']",,1h 23m,2022,"['Grace Van Dien', 'Summer Phoenix', 'Jesse Garcia', 'Kyle Gallner', 'Indiana Affleck']",['Amy Redford'],96455697,37000000,0.3829129674665692
Like It Is,11,46,22,['Drama'],,1h 40m,1998,"['Roger Daltrey', 'Dani Behr', 'Ian Rose', 'Steve Bell', 'Christopher Hargreaves']",['Paul Oremland'],450717150,85000000,0.13717287470231043
The Librarian: Quest for the Spear,60,57,59,"['Action', 'Adventure', 'Fantasy']",TVPG,1h 36m,2004,"['Noah Wyle', 'Kyle MacLachlan', 'Sonya Walger', 'Jane Curtin', 'Kelly Hu']",['Peter Winther'],237202299,90000000,0.12763441171762974
Point Break,11,29,17,"['Action', 'Adventure', 'Mystery & Thriller']",PG-13,1h 49m,2015,"['Edgar Ramírez', 'Luke Bracey', 'Ray Winstone', 'Teresa Palmer', 'Matias Varela']",['Ericson Core'],450717150,85000000,0.2695047229542994
X-Men: Apocalypse,47,65,53,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,2h 23m,2016,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Oscar Isaac', 'Nicholas Hoult']",['Bryan Singer'],151783839,175000000,0.32179750209792934
The Girl in the Book,93,55,80,['Drama'],,1h 28m,2015,"['Emily VanCamp', 'Michael Nyqvist', 'David Call', 'Michael Cristofer', 'Talia Balsam']",['Marya Cohn'],76700659,15000000,0.1680886509289778
Clifford,13,67,31,"['Kids & Family', 'Comedy']",PG,1h 29m,1994,"['Martin Short', 'Charles Grodin', 'Mary Steenburgen', 'Dabney Coleman', 'Richard Kind']",['Paul Flaherty'],69411370,50000000,0.23505966729487487
The Librarian: Quest for the Spear,60,57,59,"['Action', 'Adventure', 'Fantasy']",TVPG,1h 36m,2004,"['Noah Wyle', 'Kyle MacLachlan', 'Sonya Walger', 'Jane Curtin', 'Kelly Hu']",['Peter Winther'],237202299,90000000,0.12763441171762974
Sound It Out,93,79,88,['Documentary'],,1h 15m,2011,"['Jeanie Finlay', 'Dunstan Bruce', 'Jeanie Finlay', 'Jeanie Finlay', 'Barbara Zosel']",['Jeanie Finlay'],76700659,15000000,0.18224902864983156
Fanny by Gaslight,50,52,50,['Drama'],,1h 48m,1944,"['Phyllis Calvert', 'James Mason', 'Stewart Granger', 'Wilfrid Lawson', 'Margaretta Scott']",['Anthony Asquith'],41097853,8000000,0.34221422907228843
Looking Glass,21,11,17,['Mystery & Thriller'],R,1h 44m,2018,"['Nicolas Cage', 'Robin Tunney', 'Marc Blucas', 'Ernie Lively', 'Jacque Gray']",['Tim Hunter'],159808370,35000000,0.31063752460904254
Paranormal Activity: Next of Kin,30,38,32,"['Horror', 'Mystery & Thriller']",R,1h 38m,2021,"['Emily Bader', 'Roland Buck III', 'Dan Lippert', 'Henry Ayres-Brown', 'Tom Nowicki']",['William Eubank'],96455697,37000000,0.329828153892991
Blood: The Last Vampire,50,66,55,"['Horror', 'Action', 'Animation']",,48m,2000,"['Yûki Kudô', 'Saemi Nakamura', 'Joe Romersa', 'Rebecca Forstadt', 'Stuart Robinson']",['Hiroyuki Kitakubo'],41097853,8000000,0.3061542981142913
Who's Driving Doug,20,46,28,['Drama'],,1h 39m,2016,"['RJ Mitte', 'Paloma Kwiatkowski', 'Daphne Zuniga', 'Ray William Johnson', 'Alix Elizabeth Gitter']",['David Michael Conley'],431971116,142000000,0.27116859733978826
Lotus Eaters,8,61,25,"['Comedy', 'Drama']",,1h 18m,2011,"['Antonia Campbell-Hughes', 'Benn Northover', 'Cynthia Fortune Ryan', 'Johnny Flynn', 'Amber Anderson']",['Alexandra Mcguinness'],242875078,41000000,0.3512232879625895
House of Cards,60,68,62,['Drama'],PG-13,1h 47m,1993,"['Kathleen Turner', 'Tommy Lee Jones', 'Asha Menina', 'Shiloh Strong', 'Esther Rolle']",['Michael Lessac'],237202299,90000000,0.5562955949953092
The Preppie Connection,11,61,27,['Drama'],R,1h 35m,2015,"['Thomas Mann', 'Lucy Fry', 'Sam Page', 'Logan Huffman', 'Bill Sage']",['Joseph Castelo'],450717150,85000000,0.15789811823698258
"Something, Anything",93,54,80,['Drama'],,1h 28m,2014,"['Ashley Shelton', 'Bryce Johnson', 'Linds Edwards', 'Amy Leigh Hubbard', 'Lauren Lazarus']",['Paul Harrill'],76700659,15000000,0.2825533190699737
